Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
c37e7ff3-a8ab-4739-95d5-b0631c47ddd7,2024-12-10 18:00:57,Running,,2.87,36:22,12:41,4.73,186.0,21,,"","",2024-12-10-180057.gpx
becc4798-4db0-4a19-bf61-c32ebd5650f2,2024-12-01 15:23:10,Running,,7.97,1:16:59,9:40,6.21,559.0,41,,"","",2024-12-01-152310.gpx
4f2886fd-f7b4-4ce6-bdde-823eeab292a3,2024-11-17 16:04:34,Running,,3.85,38:12,9:56,6.04,285.0,15,,"","",2024-11-17-160434.gpx
98b4b003-9d1c-4743-bd88-b19766453fdd,2024-11-02 16:15:58,Running,,7.86,1:10:45,9:00,6.67,568.0,42,,"","",2024-11-02-161558.gpx
f39e4a9e-dd37-4f3a-8d7e-47cb259c5c4b,2024-10-26 17:14:17,Running,,7.95,1:07:10,8:27,7.10,580.0,41,,"","",2024-10-26-171417.gpx
25cf8bf1-9b04-4809-87f8-28e48ba07550,2024-10-24 17:17:13,Running,,2.74,29:14,10:41,5.62,197.0,20,,"","",2024-10-24-171713.gpx
9eb259ea-eba3-401b-9085-369d5533c671,2024-10-22 17:35:24,Running,,7.92,1:12:40,9:10,6.54,572.0,42,,"","",2024-10-22-173524.gpx
34770c5d-606c-4885-bbc7-216f02b99d4a,2024-10-17 17:25:07,Running,,7.98,1:16:04,9:32,6.30,561.0,43,,"","",2024-10-17-172507.gpx
49804033-01b0-4cec-ab56-dd777ceb05c7,2024-10-14 17:38:58,Running,,7.96,1:13:42,9:16,6.48,567.0,41,,"","",2024-10-14-173858.gpx
0b75e97c-52f5-4fa6-bc9d-1adab1f555ab,2024-10-13 17:52:15,Running,,7.96,1:19:46,10:02,5.98,556.0,41,,"","",2024-10-13-175215.gpx
03874448-f406-4653-8ee1-2ad2109095ea,2024-10-11 17:28:07,Running,,7.91,1:09:26,8:47,6.83,577.0,39,,"","",2024-10-11-172807.gpx
35dac801-2a8d-40ba-a1a2-37c616530db3,2024-10-07 17:40:00,Running,,7.91,1:13:26,9:17,6.47,569.0,42,,"","",2024-10-07-174000.gpx
76dbbff0-be25-4904-89d8-2d99d5a74d97,2024-10-06 17:46:34,Running,,3.05,37:12,12:13,4.91,224.0,19,,"","",2024-10-06-174634.gpx
4bd6d0ed-dc9a-4802-9711-331f7d72c72b,2024-10-05 17:56:18,Running,,7.91,1:10:38,8:56,6.72,580.0,41,,"","",2024-10-05-175618.gpx
1266fc6b-f123-4b52-92d7-812b4652316a,2024-10-04 17:56:56,Running,,8.00,1:11:40,8:58,6.70,587.0,42,,"","",2024-10-04-175656.gpx
d706715d-45fc-4261-9fdc-3043460f5bb2,2024-10-02 17:56:30,Running,,7.90,1:13:08,9:16,6.48,578.0,39,,"","",2024-10-02-175630.gpx
8a130723-403a-479c-ba8f-122b30525518,2024-09-30 17:56:39,Running,,7.88,1:12:40,9:13,6.50,577.0,41,,"","",2024-09-30-175639.gpx
2663fd46-c646-4e3a-a452-3e24499cf03d,2024-09-29 18:01:56,Running,,7.97,1:13:38,9:14,6.49,574.0,42,,"","",2024-09-29-180156.gpx
d9308ea3-9023-4b5c-a237-3545f4f1df8b,2024-09-25 18:06:22,Running,,7.92,1:18:24,9:54,6.06,561.0,39,,"","",2024-09-25-180622.gpx
1b1b9d0d-5385-4724-b42d-e972e7ac484f,2024-09-23 18:45:14,Running,,3.08,42:38,13:52,4.33,221.0,20,,"","",2024-09-23-184514.gpx
cf71142f-292c-4438-96d4-f7fa45b7065e,2024-09-22 18:17:37,Running,,7.98,1:12:38,9:06,6.59,576.0,42,,"","",2024-09-22-181737.gpx
d3591d4f-4c54-471d-a8d8-10c55b227d64,2024-09-21 18:35:23,Running,,7.92,1:12:16,9:08,6.57,578.0,43,,"","",2024-09-21-183523.gpx
ba95603e-af4b-44d0-a2ef-4a2e2bd70e52,2024-09-16 18:42:05,Running,,7.92,1:10:54,8:57,6.70,585.0,42,,"","",2024-09-16-184205.gpx
6479c142-6834-46d9-8de3-71fec2146d65,2024-09-14 18:59:33,Running,,8.02,1:11:15,8:53,6.76,582.0,41,,"","",2024-09-14-185933.gpx
25c8115f-1c2c-4d47-9fc8-44dc7bbfb445,2024-09-12 18:46:58,Running,,7.99,1:13:56,9:15,6.49,581.0,42,,"","",2024-09-12-184658.gpx
